# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 0359 3784 1000)",4.3,1,370,34.1920,-118.5248,0,"UTM:(11S 0359 3784 1000)",""
"UTM:(11S 0359 3789 1000)",4.1,3,373,34.2371,-118.5257,0,"UTM:(11S 0359 3789 1000)",""
"UTM:(11S 0359 3790 1000)",3.6,2,373,34.2462,-118.5257,0,"UTM:(11S 0359 3790 1000)",""
"UTM:(11S 0359 3792 1000)",2.8,5,375,34.2642,-118.5260,0,"UTM:(11S 0359 3792 1000)",""
"UTM:(11S 0359 3810 1000)",2.8,3,385,34.4265,-118.5291,0,"UTM:(11S 0359 3810 1000)",""
"UTM:(11S 0359 3815 1000)",3.1,2,389,34.4715,-118.5299,0,"UTM:(11S 0359 3815 1000)",""
"UTM:(11S 0360 3765 1000)",3.4,1,358,34.0209,-118.5109,0,"UTM:(11S 0360 3765 1000)",""
"UTM:(11S 0360 3766 1000)",3.1,1,359,34.0299,-118.5111,0,"UTM:(11S 0360 3766 1000)",""
"UTM:(11S 0360 3767 1000)",2.7,1,359,34.0389,-118.5112,0,"UTM:(11S 0360 3767 1000)",""
"UTM:(11S 0360 3769 1000)",1.0,1,361,34.0570,-118.5115,0,"UTM:(11S 0360 3769 1000)",""
"UTM:(11S 0360 3780 1000)",1.0,1,367,34.1561,-118.5133,0,"UTM:(11S 0360 3780 1000)",""
"UTM:(11S 0360 3785 1000)",4.6,1,370,34.2012,-118.5142,0,"UTM:(11S 0360 3785 1000)",""
"UTM:(11S 0360 3789 1000)",3.3,3,372,34.2373,-118.5147,0,"UTM:(11S 0360 3789 1000)",""
"UTM:(11S 0360 3792 1000)",3.1,1,374,34.2643,-118.5153,0,"UTM:(11S 0360 3792 1000)",""
"UTM:(11S 0360 3805 1000)",2.1,2,382,34.3815,-118.5173,0,"UTM:(11S 0360 3805 1000)",""
"UTM:(11S 0360 3814 1000)",2.9,1,387,34.4626,-118.5188,0,"UTM:(11S 0360 3814 1000)",""
"UTM:(11S 0361 3764 1000)",2.4,2,357,34.0120,-118.4999,0,"UTM:(11S 0361 3764 1000)",""
"UTM:(11S 0361 3765 1000)",3.8,2,358,34.0210,-118.5000,0,"UTM:(11S 0361 3765 1000)",""
"UTM:(11S 0361 3766 1000)",2.8,4,358,34.0301,-118.5002,0,"UTM:(11S 0361 3766 1000)",""
"UTM:(11S 0361 3767 1000)",4.1,1,359,34.0391,-118.5004,0,"UTM:(11S 0361 3767 1000)",""
"UTM:(11S 0361 3785 1000)",2.7,2,369,34.2013,-118.5033,0,"UTM:(11S 0361 3785 1000)",""
"UTM:(11S 0361 3786 1000)",3.1,4,369,34.2104,-118.5034,0,"UTM:(11S 0361 3786 1000)",""
"UTM:(11S 0361 3787 1000)",2.7,1,370,34.2193,-118.5035,0,"UTM:(11S 0361 3787 1000)",""
"UTM:(11S 0361 3809 1000)",2.2,1,383,34.4177,-118.5071,0,"UTM:(11S 0361 3809 1000)",""
"UTM:(11S 0361 3813 1000)",3.8,1,386,34.4537,-118.5077,0,"UTM:(11S 0361 3813 1000)",""
"UTM:(11S 0362 3763 1000)",3.8,1,356,34.0031,-118.4889,0,"UTM:(11S 0362 3763 1000)",""
"UTM:(11S 0362 3764 1000)",5.4,1,356,34.0121,-118.4890,0,"UTM:(11S 0362 3764 1000)",""
"UTM:(11S 0362 3765 1000)",2.9,2,357,34.0211,-118.4892,0,"UTM:(11S 0362 3765 1000)",""
