# Columns: ZIP/Location,CDI,No. of responses,Epicentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 045 380 10000)",3.4,3,93,34.3854,-117.4895,0,"UTM:(11S 045 380 10000)",""
"UTM:(11S 045 381 10000)",2.5,2,99,34.4756,-117.4900,0,"UTM:(11S 045 381 10000)",""
"UTM:(11S 046 366 10000)",2.7,31,127,33.1231,-117.3752,0,"UTM:(11S 046 366 10000)",""
"UTM:(11S 046 367 10000)",3.2,240,121,33.2134,-117.3756,0,"UTM:(11S 046 367 10000)",""
"UTM:(11S 046 368 10000)",2.5,6,114,33.3036,-117.3759,0,"UTM:(11S 046 368 10000)",""
"UTM:(11S 046 370 10000)",2.2,1,103,33.4839,-117.3767,0,"UTM:(11S 046 370 10000)",""
"UTM:(11S 046 371 10000)",2.8,3,98,33.5741,-117.3771,0,"UTM:(11S 046 371 10000)",""
"UTM:(11S 046 372 10000)",2.9,51,94,33.6643,-117.3775,0,"UTM:(11S 046 372 10000)",""
"UTM:(11S 046 373 10000)",2.9,16,92,33.7545,-117.3779,0,"UTM:(11S 046 373 10000)",""
"UTM:(11S 046 374 10000)",3.1,29,90,33.8447,-117.3783,0,"UTM:(11S 046 374 10000)",""
"UTM:(11S 046 375 10000)",3.1,135,89,33.9348,-117.3787,0,"UTM:(11S 046 375 10000)",""
"UTM:(11S 046 376 10000)",3.2,65,90,34.0251,-117.3791,0,"UTM:(11S 046 376 10000)",""
"UTM:(11S 046 377 10000)",2.9,48,91,34.1153,-117.3795,0,"UTM:(11S 046 377 10000)",""
"UTM:(11S 046 378 10000)",2.8,15,94,34.2054,-117.3799,0,"UTM:(11S 046 378 10000)",""
"UTM:(11S 046 379 10000)",2.7,1,97,34.2956,-117.3803,0,"UTM:(11S 046 379 10000)",""
"UTM:(11S 046 380 10000)",2.1,5,102,34.3858,-117.3807,0,"UTM:(11S 046 380 10000)",""
"UTM:(11S 046 381 10000)",2.0,14,107,34.4759,-117.3811,0,"UTM:(11S 046 381 10000)",""
"UTM:(11S 046 382 10000)",2.0,2,113,34.5662,-117.3815,0,"UTM:(11S 046 382 10000)",""
"UTM:(11S 047 361 10000)",2.2,6,172,32.6724,-117.2666,0,"UTM:(11S 047 361 10000)",""
"UTM:(11S 047 362 10000)",2.7,177,164,32.7626,-117.2669,0,"UTM:(11S 047 362 10000)",""
"UTM:(11S 047 363 10000)",2.8,242,156,32.8528,-117.2672,0,"UTM:(11S 047 363 10000)",""
