# Columns: Geocoded box,CDI,No. of responses,Hypocentral distance,Latitude,Longitude,Suspect?,City,State
"UTM:(11S 0251 4069 1000)",2.7,2,359,36.7387,-119.7831,0,"UTM:(11S 0251 4069 1000)",""
"UTM:(11S 0251 4080 1000)",2.1,3,369,36.8377,-119.7867,0,"UTM:(11S 0251 4080 1000)",""
"UTM:(11S 0252 3810 1000)",2.6,4,185,34.4064,-119.6926,0,"UTM:(11S 0252 3810 1000)",""
"UTM:(11S 0252 3811 1000)",2.8,20,185,34.4154,-119.6929,0,"UTM:(11S 0252 3811 1000)",""
"UTM:(11S 0252 3812 1000)",3.0,18,186,34.4244,-119.6932,0,"UTM:(11S 0252 3812 1000)",""
"UTM:(11S 0252 3813 1000)",3.1,7,186,34.4334,-119.6935,0,"UTM:(11S 0252 3813 1000)",""
"UTM:(11S 0252 3814 1000)",2.9,2,186,34.4424,-119.6938,0,"UTM:(11S 0252 3814 1000)",""
"UTM:(11S 0252 3815 1000)",2.7,1,187,34.4514,-119.6941,0,"UTM:(11S 0252 3815 1000)",""
"UTM:(11S 0252 3864 1000)",3.1,1,207,34.8927,-119.7084,0,"UTM:(11S 0252 3864 1000)",""
"UTM:(11S 0253 3810 1000)",3.4,2,184,34.4066,-119.6817,0,"UTM:(11S 0253 3810 1000)",""
"UTM:(11S 0253 3811 1000)",3.4,7,184,34.4156,-119.6820,0,"UTM:(11S 0253 3811 1000)",""
"UTM:(11S 0253 3812 1000)",3.3,16,185,34.4246,-119.6823,0,"UTM:(11S 0253 3812 1000)",""
"UTM:(11S 0253 3813 1000)",2.8,3,185,34.4336,-119.6826,0,"UTM:(11S 0253 3813 1000)",""
"UTM:(11S 0253 3814 1000)",2.9,2,185,34.4426,-119.6829,0,"UTM:(11S 0253 3814 1000)",""
"UTM:(11S 0254 3811 1000)",3.0,5,183,34.4158,-119.6712,0,"UTM:(11S 0254 3811 1000)",""
"UTM:(11S 0254 3812 1000)",3.0,6,184,34.4248,-119.6714,0,"UTM:(11S 0254 3812 1000)",""
"UTM:(11S 0254 3813 1000)",2.0,2,184,34.4338,-119.6717,0,"UTM:(11S 0254 3813 1000)",""
"UTM:(11S 0254 3870 1000)",3.4,2,209,34.9473,-119.6883,0,"UTM:(11S 0254 3870 1000)",""
"UTM:(11S 0255 3812 1000)",3.1,1,183,34.4251,-119.6606,0,"UTM:(11S 0255 3812 1000)",""
"UTM:(11S 0255 3814 1000)",2.2,1,183,34.4431,-119.6611,0,"UTM:(11S 0255 3814 1000)",""
"UTM:(11S 0255 3815 1000)",2.9,10,184,34.4521,-119.6614,0,"UTM:(11S 0255 3815 1000)",""
"UTM:(11S 0255 3869 1000)",2.2,1,207,34.9385,-119.6771,0,"UTM:(11S 0255 3869 1000)",""
"UTM:(11S 0255 3870 1000)",3.8,1,208,34.9475,-119.6773,0,"UTM:(11S 0255 3870 1000)",""
"UTM:(11S 0256 3811 1000)",2.7,2,182,34.4163,-119.6494,0,"UTM:(11S 0256 3811 1000)",""
"UTM:(11S 0256 3812 1000)",3.3,6,182,34.4253,-119.6497,0,"UTM:(11S 0256 3812 1000)",""
"UTM:(11S 0256 3813 1000)",3.1,1,182,34.4343,-119.6500,0,"UTM:(11S 0256 3813 1000)",""
"UTM:(11S 0257 3811 1000)",2.9,2,181,34.4166,-119.6386,0,"UTM:(11S 0257 3811 1000)",""
"UTM:(11S 0257 3812 1000)",2.8,3,181,34.4256,-119.6388,0,"UTM:(11S 0257 3812 1000)",""
"UTM:(11S 0257 3813 1000)",3.0,2,181,34.4346,-119.6391,0,"UTM:(11S 0257 3813 1000)",""
"UTM:(11S 0258 3812 1000)",2.7,1,180,34.4258,-119.6280,0,"UTM:(11S 0258 3812 1000)",""
"UTM:(11S 0258 3813 1000)",3.0,6,180,34.4348,-119.6283,0,"UTM:(11S 0258 3813 1000)",""
"UTM:(11S 0259 3812 1000)",3.1,1,179,34.4260,-119.6171,0,"UTM:(11S 0259 3812 1000)",""
"UTM:(11S 0259 3814 1000)",2.2,1,180,34.4441,-119.6177,0,"UTM:(11S 0259 3814 1000)",""
"UTM:(11S 0261 3811 1000)",4.3,1,177,34.4175,-119.5951,0,"UTM:(11S 0261 3811 1000)",""
"UTM:(11S 0262 4077 1000)",1.0,1,361,36.8135,-119.6625,0,"UTM:(11S 0262 4077 1000)",""
"UTM:(11S 0265 3810 1000)",3.4,1,173,34.4094,-119.5513,0,"UTM:(11S 0265 3810 1000)",""
"UTM:(11S 0265 3812 1000)",3.8,1,173,34.4274,-119.5519,0,"UTM:(11S 0265 3812 1000)",""
"UTM:(11S 0266 3810 1000)",3.4,3,172,34.4096,-119.5404,0,"UTM:(11S 0266 3810 1000)",""
"UTM:(11S 0267 3808 1000)",3.2,3,170,34.3918,-119.5290,0,"UTM:(11S 0267 3808 1000)",""
"UTM:(11S 0267 3809 1000)",3.8,2,170,34.4008,-119.5293,0,"UTM:(11S 0267 3809 1000)",""
"UTM:(11S 0267 3810 1000)",3.0,2,171,34.4098,-119.5296,0,"UTM:(11S 0267 3810 1000)",""
"UTM:(11S 0268 3808 1000)",3.8,2,169,34.3920,-119.5182,0,"UTM:(11S 0268 3808 1000)",""
"UTM:(11S 0268 3809 1000)",3.5,12,169,34.4010,-119.5184,0,"UTM:(11S 0268 3809 1000)",""
"UTM:(11S 0268 3810 1000)",2.0,1,170,34.4100,-119.5187,0,"UTM:(11S 0268 3810 1000)",""
"UTM:(11S 0269 3808 1000)",2.7,1,168,34.3923,-119.5073,0,"UTM:(11S 0269 3808 1000)",""
"UTM:(11S 0269 3809 1000)",3.2,6,169,34.4013,-119.5076,0,"UTM:(11S 0269 3809 1000)",""
"UTM:(11S 0270 3807 1000)",3.4,8,167,34.3835,-119.4962,0,"UTM:(11S 0270 3807 1000)",""
"UTM:(11S 0270 3808 1000)",3.6,2,167,34.3925,-119.4964,0,"UTM:(11S 0270 3808 1000)",""
"UTM:(11S 0271 3807 1000)",3.4,7,166,34.3837,-119.4853,0,"UTM:(11S 0271 3807 1000)",""
"UTM:(11S 0272 3809 1000)",3.1,1,166,34.4019,-119.4750,0,"UTM:(11S 0272 3809 1000)",""
"UTM:(11S 0273 3801 1000)",3.1,1,162,34.3301,-119.4620,0,"UTM:(11S 0273 3801 1000)",""
"UTM:(11S 0274 3890 1000)",2.2,1,205,35.1321,-119.4750,0,"UTM:(11S 0274 3890 1000)",""
"UTM:(11S 0275 3891 1000)",2.6,5,204,35.1414,-119.4642,0,"UTM:(11S 0275 3891 1000)",""
"UTM:(11S 0275 3892 1000)",2.0,3,205,35.1504,-119.4644,0,"UTM:(11S 0275 3892 1000)",""
"UTM:(11S 0275 3893 1000)",2.5,1,206,35.1594,-119.4648,0,"UTM:(11S 0275 3893 1000)",""
"UTM:(11S 0276 3806 1000)",3.8,1,161,34.3758,-119.4307,0,"UTM:(11S 0276 3806 1000)",""
"UTM:(11S 0276 3890 1000)",2.2,1,203,35.1326,-119.4529,0,"UTM:(11S 0276 3890 1000)",""
"UTM:(11S 0276 3891 1000)",2.9,1,204,35.1416,-119.4532,0,"UTM:(11S 0276 3891 1000)",""
"UTM:(11S 0276 3892 1000)",2.7,2,204,35.1506,-119.4536,0,"UTM:(11S 0276 3892 1000)",""
"UTM:(11S 0277 3890 1000)",2.2,1,202,35.1328,-119.4420,0,"UTM:(11S 0277 3890 1000)",""
"UTM:(11S 0277 3898 1000)",2.0,1,208,35.2049,-119.4442,0,"UTM:(11S 0277 3898 1000)",""
"UTM:(11S 0280 3882 1000)",3.1,1,195,35.0614,-119.4069,0,"UTM:(11S 0280 3882 1000)",""
