OBJECTID	TARGET_FID	LON	LAT	MAX_MMI	EARTHQUAKE
55	4491	-116.9810842	35.39675021		
56	9178	-123.1421613	38.3539162		
57	15237	-120.7540084	41.91282048		
58	14665	-120.0394453	41.57773616		
59	218	-115.3060977	32.67922768		
60	2531	-115.9031059	34.14233	6.8	DYFI\ca_2019b
61	7021	-118.9573779	36.99155291		
62	9987	-123.4489543	38.8340565	7	Historic MMI\pt__1906
63	8056	-119.7658616	37.63456121	4.6	Historic MMI\pt__1954b
64	645	-118.5888453	32.94828586		
65	8484	-122.9969587	37.94775068		
66	10813	-122.1913129	39.32219839		
67	9562	-119.9455247	38.55360398		
68	7383	-117.6997365	37.20649991		
69	7364	-119.4065355	37.20649991		
70	7802	-121.7421552	37.49214606	6	Historic MMI\pt__1906
71	1733	-114.6454645	33.62029027	5.3	DYFI\ca_2019b
72	5624	-119.4065355	36.12568658		
73	14059	-122.3709759	41.24083088	3.9	DYFI\ca_2005b
74	7265	-117.8793995	37.13491868		
75	9555	-120.5743454	38.55360398	4.8	Historic MMI\pt__1954b
76	2992	-116.1726005	34.43920062	7.3	DYFI\ca_2010
77	8300	-118.6878833	37.77670394		
78	8030	-122.1014814	37.63456121	9	Historic MMI\pt__1984a
79	3308	-119.0472094	34.66116407		
80	3674	-117.4302419	34.88253456		
81	9293	-123.2278572	38.44632175		
82	2395	-117.6997365	34.06794862	6.4	Historic MMI\pt__1968
83	7217	-122.1913129	37.13491868	7	Historic MMI\pt__1906
84	8142	-122.4608075	37.70566666	9	Historic MMI\pt__1984a
85	11859	-122.0116498	39.94483687	1	Historic MMI\pt__1952a
86	8642	-119.2268724	37.98940647		
87	2063	-116.262432	33.84441261	4.1	Historic MMI\pt__1948a
88	6992	-121.5624922	36.99155291	8	Historic MMI\pt__1984a
89	6778	-119.9455247	36.8479164	5.3	Historic MMI\pt__1952a
90	7583	-120.5743454	37.34945884	6	Historic MMI\pt__1984a
91	4499	-116.262432	35.39675021		
92	5302	-117.0709158	35.90770736		
93	4273	-115.7234428	35.25016306		
94	10705	-121.4726607	39.25267069		
95	1963	-114.8251276	33.76977022		
96	9907	-120.2150193	38.76404647	3.1	DYFI\ca_2001
97	14895	-120.2150193	41.71195789		
98	15205	-123.6286173	41.91282048		
99	13600	-121.9218183	40.97007905		
100	12080	-122.9997966	40.08243916		
101	2167	-117.3404104	33.91898986	6	Historic MMI\pt__1933
102	15358	-120.3048177	41.96958236		
103	13009	-122.9099651	40.63007062	6	Historic MMI\pt__1873
104	2248	-120.474817	34.00707283		
105	12308	-123.3591228	40.2197639		
106	1468	-117.6099049	33.47055056	5.4	DYFI\ca_2019b
107	12791	-121.6523237	40.49357985	1	Historic MMI\pt__1952a
108	4261	-116.8014212	35.25016306		
109	10579	-122.3709759	39.18307398		
110	4114	-119.5861986	35.17676988	6	Historic MMI\pt__1952a
111	319	-116.6217581	32.71797609		
112	15105	-122.1913129	41.84593627		
113	8410	-119.2268724	37.84767304		
114	6311	-120.2150193	36.55983269		
115	9427	-121.6523237	38.48331914		
116	11524	-120.84384	39.73791355		
117	13502	-120.3048508	40.90221672		
118	4131	-118.0590626	35.17676988	3.4	DYFI\ca_2008b
119	5512	-119.0472094	36.05309384	7.5	Historic MMI\pt__1986b
120	10369	-120.3946823	39.04367366		
121	663	-116.9810842	32.94442438	6.1	DYFI\ca_2019b
122	8021	-122.9512705	37.66591598		
123	4612	-116.5319266	35.46994406		
124	13017	-122.1913129	40.63007062		
125	4260	-116.8912527	35.25016306		
126	13621	-120.0399993	40.97005402		
127	12199	-122.7303021	40.15113624		
128	546	-117.0709158	32.86900579	5.3	DYFI\ca_2019b
129	3064	-120.1251877	34.51325422	2.7	DYFI\ca_2008b
130	11980	-121.5624922	40.01367269	2	Historic MMI\pt__1906
131	14193	-120.7540084	41.30834436		
132	682	-115.2742852	32.94442438		
133	9197	-121.4726607	38.34254367		
134	2536	-115.4539483	34.14233		
135	2053	-117.1607473	33.84441261	5.4	Historic MMI\pt__1968
136	1358	-117.0709158	33.39558348	4	Historic MMI\pt__1954a
137	7337	-121.8319868	37.20649991	6.5	Historic MMI\pt__1984a
138	6342	-117.4302419	36.55983269		
139	2496	-119.0472094	34.14233	4.2	DYFI\ca_2019b
140	5836	-121.2031661	36.2706708	4.3	DYFI\ca_2004
141	4581	-119.316704	35.46994406	7	Historic MMI\pt__1952a
142	9666	-121.023503	38.62382017		
143	9902	-120.6641769	38.76404647	5.4	Historic MMI\pt__1966
144	10794	-123.8701805	39.32632582	1	DYFI\ca_2005b
145	4348	-119.4065355	35.32348985		
146	15208	-123.3591228	41.91282048		
147	10601	-120.3946823	39.18307398		
148	4627	-115.2102014	35.44857066		
149	12442	-121.7421552	40.28832212		
150	14779	-120.2150193	41.64486375		
151	6083	-119.8556931	36.41538631	5	Historic MMI\pt__1952b
152	3692	-115.8132744	34.88253456		
153	15115	-121.2929976	41.84593627		
154	3347	-115.5437798	34.66116407		
155	11968	-122.6404705	40.01367269		
156	4848	-116.1726005	35.61613202		
157	8630	-120.3048508	37.98940647	3.4	DYFI\ca_2019b
158	11615	-123.0896282	39.80695727		
159	11040	-122.6404705	39.46104663		
160	9296	-122.9997966	38.41296569	4.3	DYFI\ca_2007
161	11629	-121.8319868	39.80695727	2	DYFI\ca_2019b
162	7943	-119.496367	37.56338767		
163	3798	-116.7115897	34.95619266	7.5	Historic MMI\pt__1947
